species,fishNum
SMB,SMB013
LT,LT012
LT,LT23007
LT,LT009
LT,LT010
LT,LT23010
SMB,SMB23008
SMB,SMB007
LT,LT014
SMB,SMB23016
SMB,SMB23001
SMB,SMB23017
LT,LT23018
LT,LT23012
LT,LT23004
SMB,SMB23018
LT,LT23005
SMB,SMB23019
SMB,SMB23014
SMB,SMB23020
SMB,SMB23021
LT,LT021
LT,LT23013
SMB,SMB23022
SMB,SMB011
SMB,SMB012
LT,LT23009
LT,LT23001
SMB,SMB23003
SMB,SMB23007
LT,LT011
SMB,SMB23015
SMB,SMB001
LT,LT23003
SMB,SMB23005
SMB,SMB23006
SMB,SMB23012
LT,LT016
SMB,SMB23010
SMB,SMB23013
SMB,SMB23002
SMB,SMB006
LT,LT23002
LT,LT018
LT,LT019
SMB,SMB23004
LT,LT23011
SMB,SMB23011
SMB,SMB23009
LT,LT017
SMB,SMB002
LT,LT013
LT,LT23008
SMB,SMB004
SMB,SMB005
SMB,SMB010
LT,LT015
