species,quintile,freq_khz,mean_TS,se_TS
LT,q20,45,-60.825527208,0.604333231756368
LT,q20,45.5,-60.813511744,0.6191311460973404
LT,q20,46,-60.640490376,0.6094103135627641
LT,q20,46.5,-60.088931248,0.5538859251157471
LT,q20,47,-59.93844952,0.5099518386366813
LT,q20,47.5,-59.534097728,0.5041057046497551
LT,q20,48,-59.379655792,0.519192128777616
LT,q20,48.5,-59.210116624,0.5603788268298968
LT,q20,49,-58.919150703999996,0.5887506305535158
LT,q20,49.5,-58.590135335999996,0.5919297146967443
LT,q20,50,-58.280100352,0.5721644175694701
LT,q20,50.5,-57.985999464,0.5901277177192616
LT,q20,51,-57.566833496,0.5906504737311674
LT,q20,51.5,-57.350606464,0.598152469130985
LT,q20,52,-57.2922748,0.6446991738897638
LT,q20,52.5,-57.222946632,0.6606946038643176
LT,q20,53,-57.247694208,0.6851279457026311
LT,q20,53.5,-57.269495111999994,0.6996247763650829
LT,q20,54,-57.130836392,0.6901469460001547
LT,q20,54.5,-57.175738192,0.6589745260161265
LT,q20,55,-57.067955496,0.619415105791622
LT,q20,55.5,-56.947092392,0.5717056362822004
LT,q20,56,-56.74761,0.543606207625104
LT,q20,56.5,-56.57936048,0.515493607540435
LT,q20,57,-56.307525192,0.5128095767114539
LT,q20,57.5,-56.094852008,0.5015431412260565
LT,q20,58,-55.832501256,0.520002890676547
LT,q20,58.5,-55.66065744,0.5158076049330422
LT,q20,59,-55.402973848,0.5153002392910053
LT,q20,59.5,-55.207160703999996,0.5223268082219323
LT,q20,60,-55.059748848,0.5425311518026215
LT,q20,60.5,-54.962950856,0.5501076508057599
LT,q20,61,-54.838953856,0.5628257142336003
LT,q20,61.5,-54.680677736,0.5786970269571332
LT,q20,62,-54.403683623999996,0.6033107925131919
LT,q20,62.5,-54.197662488,0.6313620785077914
LT,q20,63,-54.002873968,0.641848134217586
LT,q20,63.5,-53.782731663999996,0.6586363515362873
LT,q20,64,-53.771984016,0.7177619734609694
LT,q20,64.5,-53.523644672,0.7071299630029475
LT,q20,65,-53.242996928000004,0.5772816714500605
LT,q20,65.5,-53.113038184,0.49051973188507575
LT,q20,66,-53.130416184,0.4417062330141234
LT,q20,66.5,-53.20193812,0.41788752692598174
LT,q20,67,-53.095802968,0.42169978366182514
LT,q20,67.5,-53.048089808,0.42906174327663804
LT,q20,68,-52.887398792,0.409657374079038
LT,q20,68.5,-52.692151856,0.42346716826518926
LT,q20,69,-52.505950936,0.4517889380582741
LT,q20,69.5,-52.38447056,0.5056659755818237
